"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 06 13:34:44 PST 2021","Mon Dec 06 13:34:44 PST 2021","3","","tests.properties.SystemPropertiesTests","","tests.properties.SystemPropertiesTests","someTest4","someTest4()",""
"passed","Mon Dec 06 13:34:44 PST 2021","Mon Dec 06 13:34:44 PST 2021","66","","tests.properties.SystemPropertiesTests","","tests.properties.SystemPropertiesTests","someTest1","someTest1()",""
"passed","Mon Dec 06 13:34:44 PST 2021","Mon Dec 06 13:34:56 PST 2021","11997","","tests.TestBoxTest","","tests.TestBoxTest","studentRegistrationForm","studentRegistrationForm()",""
"passed","Mon Dec 06 13:34:44 PST 2021","Mon Dec 06 13:34:44 PST 2021","5","","tests.properties.SystemPropertiesTests","","tests.properties.SystemPropertiesTests","someTest2","someTest2()",""
"skipped","Mon Dec 06 13:34:44 PST 2021","Mon Dec 06 13:34:44 PST 2021","0","","tests.properties.SystemPropertiesTests","","tests.properties.SystemPropertiesTests","someTest3","someTest3()",""
"passed","Mon Dec 06 13:35:00 PST 2021","Mon Dec 06 13:35:00 PST 2021","56","","tests.properties.SystemPropertiesTests","","tests.properties.SystemPropertiesTests","someTest","someTest()",""
